l,t
1000,4.174845457077026
2000,8.512166976928711
3000,11.948673248291016
4000,16.094502687454224
5000,20.65393090248108
6000,24.455682277679443
7000,27.868045568466187
8000,31.02531671524048
9000,34.07710361480713
10000,37.40279793739319
11000,41.42095685005188
12000,45.07006597518921
13000,48.26565504074097
14000,51.556050539016724
15000,54.89694690704346
16000,58.09206032752991
17000,61.74643564224243
18000,65.3693618774414
19000,68.56881594657898
20000,72.7015233039856
21000,76.53087329864502
22000,80.35825181007385
23000,84.5784375667572
24000,87.9787528514862
25000,91.65312767028809
26000,95.64709949493408
27000,101.68830418586731
28000,105.93149280548096
29000,110.38877582550049
30000,115.43379068374634
31000,119.09446287155151
32000,122.84713459014893
33000,126.79160284996033
34000,130.6956503391266
35000,134.37780690193176
36000,137.92589783668518
37000,142.10797691345215
38000,146.18941712379456
39000,150.2079222202301
40000,157.11595487594604
41000,170.26468515396118
42000,183.370041847229
43000,195.12832903862
44000,207.97233724594116
45000,222.18664455413818
46000,233.57747769355774
47000,246.61611795425415
48000,259.18499422073364
49000,272.85593605041504
50000,286.4405300617218
51000,299.28723192214966
52000,311.5335261821747
53000,324.21678495407104
