r,l,t
649.7681226730347,72,0.2359464168548584
649.7681226730347,72,0.5568909645080566
1028.246201813221,87,0.9972033500671387
3638.701506793499,467,2.8978240489959717
5070.088525772095,1491,9.11772346496582
3638.7015023827553,341,10.340827703475952
3642.4957624673843,304,11.380462408065796
3635.8558080792427,449,12.874207496643066
643.1281599998474,69,13.14491868019104
3649.1357405781746,347,14.690954208374023
1031.091898739338,90,15.124152660369873
3639.6500665545464,336,16.75458860397339
3631.112978577614,1548,23.0733003616333
3742.0952650904655,360,24.5673189163208
5108.031181275845,4500,39.44694781303406
9769.944437861443,1036,43.593716621398926
4977.129007458687,4500,58.312262296676636
3639.6500769257545,462,59.985424280166626
3642.4957640767097,305,61.05938959121704
9799.38889080286,903,64.44151663780212
650.7166888713837,72,64.71480894088745
5066.2942507267,1265,68.82410192489624
9858.055514335632,639,71.47371935844421
1028.2461979985237,89,71.78764271736145
3642.495772242546,316,73.19207954406738
9856.388888835907,647,75.67001223564148
3638.701511800289,455,77.20389795303345
3663.3642429709435,352,78.52804136276245
9698.388844311237,1358,84.19970107078552
3635.855805814266,465,86.03596568107605
9828.222221791744,773,88.55567574501038
1029.1947684884071,90,89.0128321647644
9850.388856470585,674,91.40181493759155
3635.8558045625687,294,92.36210227012634
4979.974706709385,2025,102.87867856025696
1028.246201813221,88,103.22223138809204
9838.44438302517,727,106.26035857200623
9839.277754068375,724,109.6520767211914
9846.944410026073,689,112.51528453826904
1029.1947678923607,90,113.17435264587402
1032.0404698252678,121,113.95971512794495
9696.666673779488,1365,119.27046608924866
3635.8558052182198,571,121.33631920814514
1032.9890347123146,91,121.69137644767761
3646.290040254593,436,123.52929425239563
3632.0615441203117,529,125.55030369758606
9857.722155570984,641,128.00683164596558
643.1281599998474,69,128.308735370636
3646.290039598942,332,129.5823004245758
4341.589358329773,752,132.33892011642456
3630.164403319359,360,133.75815176963806
5075.779917657375,458,135.45776963233948
3646.290033996105,363,136.6820514202118
649.7681232094765,67,136.9463222026825
9815.833301603794,829,140.26780104637146
9851.499964594841,669,142.9590437412262
9838.499945938587,727,145.96322536468506
1032.989031612873,88,146.35058498382568
9838.444381654263,727,149.02356457710266
645.9738566279411,72,149.4121720790863
1029.1947692036629,87,149.8745837211609
9838.77774888277,726,152.18342757225037
650.7166894078255,71,154.00195574760437
0.0,4500,210.67165803909302
18.97133219242096,4500,269.2894916534424
