l,t
1000,5.808669805526733
2000,11.709331750869751
3000,17.554553508758545
4000,23.365610599517822
5000,40.548110246658325
6000,46.362685680389404
7000,52.53552055358887
8000,58.99408507347107
9000,76.95267415046692
10000,83.15115213394165
11000,89.312002658844
12000,95.33458042144775
13000,116.16937971115112
14000,124.00614190101624
15000,131.64454817771912
16000,138.09403777122498
17000,159.22300338745117
18000,168.01745009422302
19000,175.83407711982727
20000,183.29116940498352
21000,203.04906463623047
22000,211.01079440116882
23000,219.12973141670227
24000,227.27107858657837
25000,248.18049359321594
26000,255.90473866462708
27000,262.30429100990295
28000,268.81813311576843
29000,289.63131642341614
30000,296.52347445487976
31000,302.8868553638458
32000,309.9373860359192
33000,328.50636529922485
34000,335.4171974658966
35000,341.51761746406555
36000,348.5648982524872
37000,368.02494859695435
38000,374.573828458786
39000,381.3637170791626
40000,388.35692620277405
41000,408.30740332603455
42000,415.4693410396576
43000,422.2872474193573
44000,428.85958194732666
45000,436.06594157218933
46000,456.34563398361206
47000,463.9351134300232
48000,471.0789020061493
49000,477.8112471103668
50000,497.57505464553833
51000,504.8195095062256
52000,512.1922657489777
53000,519.8130717277527
54000,538.032586812973
55000,544.7269752025604
56000,552.456182718277
57000,560.2254989147186
58000,580.5156891345978
59000,587.6335756778717
60000,593.8540923595428
61000,600.1115822792053
62000,619.1000740528107
63000,625.2262208461761
64000,631.807112455368
65000,639.2591061592102
66000,660.7597301006317
67000,667.2109413146973
68000,675.0399191379547
69000,682.5378768444061
70000,700.0840885639191
71000,706.1493668556213
72000,712.8193571567535
73000,719.4610691070557
74000,740.8369772434235
75000,747.4544041156769
76000,755.3446192741394
77000,762.7322540283203
78000,782.6980602741241
79000,789.4731364250183
80000,796.7543270587921
81000,803.6719567775726
82000,821.9860215187073
83000,828.7696416378021
84000,835.1667313575745
85000,841.2627675533295
86000,847.8342199325562
87000,869.0477914810181
88000,877.307371377945
89000,885.1879603862762
90000,892.4188168048859
91000,912.261914730072
92000,919.8551578521729
93000,926.9056735038757
94000,934.1620881557465
95000,953.8032734394073
96000,960.7329206466675
97000,968.8211679458618
98000,976.9457614421844
99000,995.8599119186401
100000,1002.2995674610138
101000,1009.2768545150757
102000,1015.2697193622589
103000,1034.6198835372925
104000,1041.760891675949
105000,1048.6442375183105
106000,1055.5508527755737
107000,1073.51606631279
108000,1079.841816663742
109000,1086.3415126800537
110000,1093.2039132118225
111000,1112.686471939087
112000,1119.3629322052002
113000,1126.3191385269165
114000,1132.3563861846924
115000,1149.8930344581604
116000,1156.0407390594482
117000,1162.1655015945435
118000,1168.4964480400085
119000,1189.1920518875122
120000,1196.8792216777802
121000,1205.145207643509
122000,1213.4433817863464
123000,1235.4524159431458
124000,1241.9303483963013
125000,1248.47505402565
126000,1254.7261526584625
127000,1272.46737074852
128000,1278.606612443924
129000,1284.7150638103485
130000,1291.5541825294495
131000,1298.6417124271393
132000,1317.9868528842926
133000,1324.7233114242554
134000,1331.192419052124
135000,1338.6929364204407
136000,1357.7937169075012
137000,1363.870406627655
138000,1370.286893606186
139000,1376.2999727725983
140000,1393.7795321941376
141000,1399.9047856330872
142000,1405.9666562080383
143000,1412.1455869674683
144000,1429.9840383529663
145000,1436.0167570114136
146000,1442.0011348724365
147000,1448.51194024086
148000,1468.2313356399536
149000,1474.9913725852966
150000,1481.3145039081573
151000,1487.5149443149567
152000,1505.8343787193298
153000,1512.0190467834473
154000,1518.454763174057
155000,1524.9477739334106
156000,1542.5953402519226
157000,1548.552931547165
158000,1554.4455876350403
159000,1560.9520897865295
160000,1581.141723871231
161000,1587.3662934303284
162000,1593.4102170467377
163000,1599.8253183364868
164000,1624.2442407608032
165000,1633.8245315551758
166000,1643.518981218338
167000,1652.3598215579987
168000,1673.9079594612122
169000,1681.6052992343903
170000,1689.797619342804
171000,1697.7239332199097
172000,1704.794959783554
173000,1724.26255941391
174000,1730.7773401737213
175000,1737.6964054107666
176000,1745.255529642105
177000,1764.462617635727
178000,1772.29647731781
179000,1779.2215209007263
180000,1785.4710912704468
181000,1804.6099309921265
182000,1812.0072612762451
183000,1818.9503786563873
184000,1825.9294788837433
185000,1844.3858609199524
186000,1850.9779391288757
187000,1857.6191973686218
188000,1864.0606133937836
189000,1882.3690733909607
190000,1888.7909398078918
191000,1895.5898196697235
192000,1902.334062576294
193000,1920.3645367622375
194000,1927.003565788269
195000,1933.8333766460419
196000,1940.3628466129303
197000,1959.580560207367
198000,1967.1778230667114
199000,1975.0307664871216
200000,1981.8766510486603
201000,2001.3521547317505
202000,2008.0514562129974
203000,2014.2689671516418
204000,2021.3026750087738
205000,2039.9228916168213
206000,2046.3528759479523
207000,2052.622151851654
208000,2058.6315741539
209000,2076.383204936981
210000,2083.1502780914307
211000,2089.2733681201935
212000,2095.629716157913
213000,2113.2418513298035
214000,2119.3789806365967
215000,2125.6343734264374
216000,2131.8850836753845
217000,2137.8741443157196
218000,2155.4111535549164
219000,2161.444680452347
220000,2167.310688495636
221000,2174.449502468109
222000,2194.293140888214
223000,2201.4256591796875
224000,2208.385157108307
225000,2215.1227774620056
226000,2234.092571735382
227000,2240.893847465515
228000,2247.3849856853485
229000,2255.164227962494
230000,2275.4462966918945
231000,2282.745609998703
232000,2289.747467279434
233000,2297.0402748584747
234000,2315.750893831253
235000,2325.306332349777
236000,2334.4484045505524
237000,2343.803735256195
238000,2365.828315258026
239000,2373.2534279823303
240000,2380.561061859131
241000,2387.6866221427917
242000,2406.9965403079987
243000,2413.43407535553
244000,2420.3850462436676
245000,2427.7800517082214
246000,2450.7640628814697
247000,2458.6290521621704
248000,2466.0960581302643
249000,2472.791757583618
250000,2492.1973996162415
251000,2499.416098356247
252000,2506.7619688510895
253000,2514.206911802292
254000,2534.6229751110077
255000,2541.396624803543
