r,l,t
714.2706613540649,4500,37.59185481071472
1592.643347799778,4500,76.96080899238586
570.0885328054428,206,78.28896474838257
595.6998326778412,1306,86.26248550415039
675.3794356584549,4500,131.9659605026245
627.9511016607285,4500,179.63180422782898
1631.5345827937126,4500,227.37167882919312
687.7107942700386,349,230.25424766540527
3154.9325577020645,4500,288.54547905921936
750.3161925673485,4500,330.69352078437805
724.7048938274384,4500,373.5853548049927
503.6888719201088,122,374.4296700954437
5000.843172609806,4500,418.64145493507385
5128.899664103985,4500,463.730975151062
3740.198151886463,2780,495.7195906639099
3163.4696446061134,4500,539.7935168743134
5118.465442419052,4500,586.0618705749512
3629.215842306614,1065,592.738353729248
5107.082639455795,4500,634.2253766059875
5068.191413640976,4500,681.3915369510651
1028.2462086081505,188,682.636144399643
3735.4553129673004,1404,702.572413444519
5123.208302140236,4500,746.7283401489258
648.8195574879646,74,747.37171459198
5115.619744479656,4500,793.5773017406464
4147.1332213282585,759,798.3102078437805
4241.98989033699,589,802.4886021614075
4343.486516058445,1273,822.7812402248383
5110.876905798912,4500,865.8875811100006
641.2310280799866,78,866.4570500850677
3629.215856075287,905,873.8694097995758
3735.4553124904633,412,877.3832087516785
3739.2495874762535,507,881.5058422088623
638.3853286504745,75,882.090879201889
5149.768147170544,4500,927.5644228458405
615.619731605053,87,928.2916567325592
4150.927488684654,828,934.2163014411926
4149.030358731747,734,951.8542301654816
3637.752954661846,1386,961.6113517284393
642.1795952916145,75,962.2129955291748
629.8482300043106,82,962.8841607570648
4159.464591741562,499,967.0187158584595
1030.1433364748955,106,967.9687569141388
4242.938449382782,894,975.4357726573944
3647.23861515522,1637,998.4525167942047
4148.081786096096,577,1002.2134404182434
5079.574213564396,4500,1044.978274822235
1028.2462079524994,113,1045.8318512439728
1031.0919072031975,149,1047.0263493061066
3740.1981494426727,1364,1056.3423357009888
1028.2462062835693,99,1056.9945623874664
4241.0413246154785,520,1071.8258397579193
1028.2462067008018,185,1073.008676290512
5159.253804683685,4500,1115.4653885364532
649.7681248188019,73,1116.0021967887878
3737.3524557948112,375,1118.4330925941467
1029.1947737932205,98,1119.1305167675018
4241.041321754456,577,1123.099140405655
646.9224244952202,71,1123.7148535251617
5140.282476067543,4500,1162.9338612556458
5086.214176118374,4500,1210.1933858394623
1029.1947703361511,101,1211.0839703083038
1029.1947716474533,106,1211.943291425705
3736.4038841724396,435,1215.7570123672485
3746.8381142020226,451,1219.2952318191528
646.9224276542664,75,1219.8411905765533
645.0252959728241,75,1220.3590371608734
4150.927493095398,574,1238.201164484024
3740.198148071766,530,1241.6665768623352
1030.1433416604996,98,1242.367516040802
3738.301014959812,424,1245.1087169647217
564.397133409977,106,1245.8255517482758
1030.1433358192444,93,1246.4866335391998
5043.528682470322,4500,1285.8347449302673
1028.2462027072906,93,1286.510558128357
3741.1467121243477,386,1288.9374055862427
642.1795952320099,76,1289.4579303264618
643.1281622052193,70,1289.943837404251
642.1795946359634,70,1290.465921163559
644.0767297148705,75,1291.1926000118256
4158.516022443771,453,1294.7788515090942
1031.0919085144997,144,1295.7452960014343
2161.783305168152,404,1298.3258769512177
636.488197684288,78,1298.874989271164
3742.095287322998,395,1314.2412984371185
640.2824634313583,73,1314.7666203975677
1030.1433390974998,121,1315.5662894248962
637.4367677569389,73,1316.0563297271729
3741.1467171907425,999,1322.6946911811829
634.5910608768463,75,1323.2641849517822
5066.294270813465,4500,1365.5233309268951
627.9510977268219,80,1366.0713095664978
640.2824628353119,74,1366.5940384864807
1031.0919056534767,93,1367.2284665107727
628.8996653556824,78,1367.7896020412445
640.2824624180794,72,1368.2643225193024
5124.156847000122,4500,1407.008725643158
1032.9890386462212,96,1407.6785507202148
3744.9409814476967,997,1413.7964866161346
643.1281630992889,97,1425.9524233341217
5110.87691795826,4500,1467.13374209404
1028.2462067008018,98,1467.9022510051727
1029.1947761774063,97,1468.5841002464294
2193.086007118225,398,1471.2159869670868
2217.748731613159,191,1472.5606133937836
5009.380276799202,4500,1512.9002113342285
3737.3524484038353,342,1515.0462312698364
4249.57841193676,518,1518.4918575286865
1030.143337726593,93,1519.137622833252
1028.2462101578712,111,1519.864666223526
5127.002533376217,4500,1558.7981040477753
5116.568309128284,4500,1601.4799926280975
5051.11721777916,4500,1658.1369678974152
1031.0919094085693,145,1659.2993230819702
640.2824628353119,74,1659.9306547641754
3737.352446436882,1808,1687.5165412425995
4244.835587143898,434,1691.14133644104
3637.7529549002647,367,1693.9522452354431
1032.0404727458954,104,1694.827258348465
4248.629846572876,776,1700.8607666492462
4242.938446879387,457,1703.9419870376587
5008.431713163853,4500,1759.599042415619
3743.0438487529755,440,1762.9060854911804
3746.8381048440933,374,1765.8883497714996
645.9738610386848,75,1766.506157875061
4151.876059055328,859,1773.1674506664276
3737.352444291115,779,1778.5652124881744
1028.246205687523,99,1779.2235736846924
3735.4553083777428,406,1781.7516474723816
4352.023607194424,435,1784.355390548706
1031.0919032096863,94,1784.9706528186798
2219.6458662748337,325,1799.1316237449646
1028.246210217476,100,1799.9229018688202
4241.041314423084,513,1803.6412227153778
3645.3414862155914,340,1806.1955513954163
1028.2462092638016,101,1806.9722633361816
1029.194770872593,99,1807.749198436737
3745.889544725418,548,1811.6634707450867
640.2824628353119,74,1812.2473418712616
649.7681248188019,73,1812.7795915603638
643.1281622052193,73,1813.3485419750214
3743.0438482761383,670,1817.9800939559937
3736.4038821458817,394,1820.5594639778137
3739.2495904564857,421,1823.5202300548553
3744.9409786462784,289,1825.5559859275818
3744.9409699440002,406,1840.298906803131
5084.317044556141,4500,1881.3840899467468
2184.5489060282707,206,1882.818430185318
5141.231052041054,4500,1923.9645080566406
4246.732714056969,506,1927.5607962608337
643.1281626224518,75,1928.136899471283
3745.889543235302,397,1930.8001928329468
3738.301008760929,912,1936.6987175941467
4354.869302928448,453,1939.7141375541687
2524.135747551918,306,1941.7584025859833
4150.927489936352,866,1960.150839805603
640.2824631333351,75,1960.7167196273804
645.9738615751266,74,1961.2832915782928
4164.207410275936,481,1964.7891590595245
4148.081780433655,783,1971.4269213676453
3747.7866748571396,465,1974.727709531784
3737.352438211441,819,1980.436446905136
3638.7015202641487,1153,2000.7444331645966
4165.155983805656,434,2003.7725677490234
3747.7866777181625,418,2006.5617468357086
649.7681248188019,73,2007.083903312683
4244.835572421551,945,2012.8882291316986
3737.3524411320686,489,2016.2616164684296
3742.0952699780464,528,2019.9460575580597
4143.3389528393745,577,2023.974415063858
649.7681248188019,73,2024.5085895061493
5102.339799880981,4500,2076.081869363785
4241.989870786667,584,2079.923542022705
4241.989878416061,327,2082.259366750717
1030.1433367729187,93,2082.908950805664
5167.7909091115,4500,2122.2453598976135
2217.7487342357635,238,2123.7693519592285
3747.7866763472557,437,2126.5362346172333
3745.8895352482796,384,2128.954880475998
5084.317046165466,4500,2167.5490136146545
5009.380266368389,4500,2211.9308404922485
3747.7866802811623,380,2214.4317071437836
645.9738569259644,75,2214.9765141010284
3639.6500791311264,587,2230.9389395713806
4242.938449680805,377,2233.678632736206
643.1281617283821,68,2234.22821187973
4240.092735588551,378,2236.9010078907013
649.7681241035461,71,2237.414662361145
4350.126470029354,427,2240.1651458740234
3747.786674082279,424,2242.9228975772858
5130.796810507774,4500,2288.414646625519
5088.1113037467,4500,2337.2118122577667
3738.301006257534,407,2341.168846845627
3748.7352367043495,343,2344.424455881119
1030.1433339118958,93,2345.3288571834564
1031.0919036865234,94,2346.227102279663
4254.321239590645,402,2362.9614186286926
2206.365934729576,252,2365.017044067383
4349.177907466888,398,2368.146421432495
3743.9924132823944,515,2372.0520536899567
3744.940966665745,456,2375.067260503769
3748.735242307186,487,2378.628960609436
649.7681248188019,73,2379.2715990543365
3747.7866778969765,475,2382.8279478549957
4164.207414448261,437,2386.0056805610657
5135.53962802887,4500,2429.9325299263
3748.735238671303,343,2432.396153450012
3747.786663711071,418,2450.891805410385
5129.848225772381,4500,2495.770206928253
4147.13320761919,1041,2503.4109864234924
3747.7866723537445,427,2506.5448834896088
4149.030342340469,504,2510.266361474991
