r,l,t
9801.555505990982,893,2.4774539470672607
1029.1947621703148,87,2.761434316635132
9648.833322823048,1581,7.120363473892212
9619.166618049145,1714,11.720999717712402
9849.833307147026,676,13.52440094947815
4147.133209347725,1237,16.920324325561523
5116.5682852864265,4500,28.33595108985901
3646.29003405571,317,29.266277074813843
647.8709942698479,74,29.512019395828247
3638.7015050053596,338,30.45669674873352
5125.105382442474,4500,42.86595153808594
3644.3929051160812,398,44.0318968296051
5077.677045464516,4500,57.43597626686096
9827.611059367657,776,59.872188329696655
5068.191378831863,860,62.495319843292236
3633.0101038217545,383,63.6946964263916
5184.865071296692,4500,77.78995132446289
1029.1947657465935,89,78.20818901062012
9822.888856887817,797,81.41284441947937
9791.11106622219,940,84.84206700325012
4147.133217275143,2090,92.46788763999939
3632.0615469813347,439,93.79817819595337
3642.495767891407,475,95.25415539741516
5148.81954818964,4500,108.9875910282135
3630.16440564394,326,110.19210982322693
3642.4957731366158,357,111.27408576011658
9843.055536866188,707,113.204922914505
5068.191374540329,1030,116.35790395736694
3646.2900331020355,316,117.37855744361877
4241.989859044552,766,119.8774061203003
3642.495774805546,587,121.58531165122986
5168.739448904991,4500,133.53557205200195
9815.72218888998,830,136.12801599502563
646.9224264025688,73,136.4162793159485
9831.555501639843,758,139.08202600479126
4147.133208036423,498,140.4649121761322
1029.194768846035,126,140.81854367256165
4147.13321018219,481,142.1173713207245
5066.294287621975,3216,150.99822521209717
9853.333305954933,660,152.84134197235107
3638.7015035152435,339,153.78459548950195
645.9738593101501,73,154.0260419845581
3639.650070846081,409,155.18819093704224
650.7166894078255,71,155.41394352912903
3646.2900382876396,326,156.33895301818848
3639.650069475174,357,157.34982585906982
9776.666623294353,1005,160.1686863899231
5013.174521744251,4500,172.21684169769287
645.9738566875458,71,172.47918963432312
3635.8558099865913,355,173.72572255134583
5060.602863132954,1121,177.33578729629517
3635.855804860592,356,178.4943573474884
5094.751244843006,4500,192.5477213859558
4245.784128665924,369,193.75797176361084
9718.83329308033,1266,197.7561354637146
9368.22222852707,2843,206.25457978248596
9828.944427549839,770,208.738046169281
9785.388852834702,966,211.96125102043152
647.8709921836853,73,212.19748950004578
3631.112972199917,325,213.11623311042786
3642.495772957802,372,214.15236282348633
1030.1433310508728,91,214.4444215297699
643.1281602978706,68,214.6496136188507
5018.865920424461,4500,227.08956599235535
3646.2900413274765,373,228.32007718086243
3639.650078177452,428,229.74147582054138
9780.277781009674,989,232.90338492393494
1032.9890366792679,87,233.20544290542603
3642.495782673359,366,234.35060095787048
3633.9586740732193,422,235.6748023033142
3635.8558027148247,281,236.57109022140503
4238.195609390736,846,239.27250218391418
3642.4957679510117,323,240.29816889762878
1032.989035487175,130,240.7507288455963
643.1281599998474,69,241.0163516998291
9852.944396615028,662,243.06366562843323
5107.082615852356,4500,256.64283061027527
3642.4957659840584,317,257.643545627594
9789.83332413435,946,260.39538836479187
5112.774010181427,4500,273.33668327331543
3630.1644039154053,327,274.39932131767273
9807.38886642456,867,277.10954999923706
9848.05550467968,684,279.12214970588684
1031.0918990969658,88,279.4948797225952
647.8709927201271,71,279.77020716667175
5066.294258058071,505,281.49811697006226
1032.9890277385712,91,281.8287150859833
1030.1433380842209,111,282.23627376556396
3639.6500744223595,668,284.3338210582733
3646.290039241314,368,285.5494966506958
5001.791723847389,4500,298.3263449668884
5071.03708255291,616,300.0474407672882
3635.855805337429,450,301.3368718624115
3655.7757101655006,574,302.9399366378784
1030.143330514431,91,303.2340908050537
3659.5699702501297,357,304.2293469905853
3635.8558062911034,344,305.18399381637573
5067.242814362049,1044,308.1598289012909
3646.2900351285934,365,309.2246549129486
9839.833309590816,721,311.2428274154663
4243.887007415295,939,313.89785504341125
4980.923267185688,560,315.4355947971344
645.9738566279411,72,315.67251110076904
647.8709927201271,71,315.90075516700745
4768.44433093071,4500,328.4342722892761
1032.0404650568962,91,328.74298882484436
3638.701502621174,357,329.75628209114075
4981.871827542782,4500,341.88861107826233
9632.999947309494,1652,346.4824631214142
3642.49578332901,643,348.2672290802002
3646.290037870407,543,349.7853765487671
1030.1433310508728,92,350.08415269851685
4818.718360364437,4500,362.8296856880188
649.7681232094765,68,363.0766394138336
4992.306063234806,4500,376.4235396385193
3639.6500695943832,326,377.6218762397766
4147.133202672005,767,380.0981705188751
9793.888863444328,928,383.54968309402466
9821.388831853867,804,386.2007040977478
3635.8558015823364,281,387.1254868507385
4147.133212566376,1236,390.99917244911194
646.9224233627319,68,391.2336986064911
3631.112972021103,303,392.2874948978424
647.87099391222,69,392.5465340614319
3635.8558064103127,468,394.11959958076477
1031.091900587082,120,394.5019133090973
5195.2993085980415,4500,407.62934923171997
