l,t
1000,12.751211643218994
2000,29.414605140686035
3000,51.87947702407837
4000,73.23586583137512
5000,95.24622774124146
6000,112.29118275642395
7000,124.89005827903748
8000,136.19751715660095
9000,147.0448441505432
10000,158.06605076789856
11000,177.05427765846252
12000,193.01472401618958
13000,204.58599090576172
14000,216.07369542121887
15000,227.15476369857788
16000,244.18542742729187
17000,264.24327540397644
18000,286.2340774536133
19000,305.8796057701111
20000,317.1508333683014
21000,425.6417043209076
22000,555.0455384254456
23000,681.7030973434448
24000,793.5220229625702
25000,972.0209853649139
26000,1075.9854938983917
27000,1212.0252616405487
28000,1341.4938163757324
29000,1440.734516620636
30000,1568.4302728176117
31000,1685.700569152832
32000,1812.1950302124023
33000,1937.7868762016296
34000,2033.0823254585266
35000,2170.256434440613
36000,2272.7088408470154
37000,2417.704698085785
38000,2539.7049379348755
39000,2648.7263951301575
40000,2780.6285376548767
41000,2881.333254814148
42000,3014.118201971054
43000,3120.8336749076843
44000,3235.726683616638
45000,3376.1186015605927
46000,3486.2356605529785
47000,3625.8773894309998
48000,3753.7197098731995
49000,3867.0980277061462
50000,3994.8495042324066
51000,4095.088496208191
52000,4221.835527181625
53000,4332.38219666481
54000,4445.259510755539
55000,4574.215176343918
56000,4669.191240787506
57000,4798.046915769577
58000,4898.981805562973
59000,5037.747447252274
60000,5204.528589248657
61000,5369.679223537445
62000,5497.237740516663
63000,5650.481356143951
64000,5774.761149406433
65000,5913.198030948639
66000,6068.944911956787
67000,6198.253700017929
68000,6346.393315315247
69000,6500.424480438232
70000,6610.159135818481
71000,6758.130673646927
72000,6911.541123390198
73000,7056.147680044174
74000,7217.177106142044
75000,7338.398810863495
76000,7470.430239677429
77000,7615.002830028534
78000,7747.7071669101715
79000,7910.9712870121
80000,8058.70357298851
81000,8205.079442977905
82000,8402.663739204407
83000,8517.643335103989
84000,8697.12098121643
85000,8836.395083904266
86000,8979.652590036392
87000,9173.06665802002
88000,9311.710945367813
89000,9496.326045751572
90000,9638.596693277359
91000,9785.361232042313
92000,9952.004212617874
93000,10076.971825361252
94000,10252.564693450928
95000,10386.616285562515
96000,10545.299723625183
97000,10710.47601556778
98000,10852.08349776268
99000,11046.855151414871
100000,11204.481104850769
101000,11389.817331790924
102000,11545.817485570908
103000,11696.132369041443
104000,11885.531926631927
105000,12053.50557565689
106000,12227.048646688461
107000,12383.194885969162
108000,12550.903157234192
109000,12745.56677699089
110000,12875.841900348663
111000,13068.572194337845
112000,13211.765002965927
113000,13367.822026491165
114000,13533.516347408295
115000,13665.000675201416
116000,13860.208680152893
117000,14006.477426052094
118000,14190.749975204468
119000,14325.450694799423
120000,14514.249019861221
121000,14681.497330904007
122000,14825.074261426926
123000,14972.974564552307
124000,15117.31480717659
125000,15299.950733184814
126000,15440.937723398209
127000,15637.578049898148
128000,15748.45889377594
129000,15978.073889017105
130000,16118.734466552734
131000,16315.101185798645
132000,16482.427632570267
133000,16676.077811717987
134000,16874.405876159668
135000,17031.287000894547
136000,17233.716351747513
137000,17368.23093032837
138000,17593.387882232666
139000,17749.87416410446
140000,17987.671793699265
141000,18166.059644699097
142000,18370.949808359146
143000,18620.466348409653
144000,18751.123386621475
145000,18963.940045833588
146000,19086.565973758698
147000,19319.807005405426
148000,19441.93411564827
149000,19681.351331949234
150000,19830.983119010925
151000,20053.028445005417
152000,20215.511308193207
153000,20424.69050502777
154000,20609.763199090958
155000,20796.211218357086
156000,20994.72991347313
157000,21161.50751018524
158000,21388.493076324463
159000,21556.667006015778
160000,21803.426312685013
161000,21983.797257900238
162000,22180.311274766922
163000,22530.899380922318
164000,22737.110013484955
165000,23006.15037870407
166000,23299.721722841263
167000,23477.691618680954
168000,23755.46316885948
169000,24006.33302974701
170000,24225.502003908157
171000,24585.06152820587
172000,24902.135239362717
173000,25118.276432275772
174000,25357.65164256096
175000,25589.80939412117
176000,25776.660175561905
177000,26035.711829662323
178000,26262.98233628273
179000,26447.44315457344
180000,26720.159655332565
181000,26935.811814785004
182000,27102.88172674179
183000,27322.652269601822
184000,27463.62668442726
185000,27699.789981603622
186000,27899.254408597946
187000,28070.207839250565
188000,28348.507969141006
189000,28594.153370141983
190000,28774.651579856873
191000,29007.40151667595
192000,29213.63411951065
193000,29455.437373161316
194000,29671.456389904022
195000,29932.653693675995
196000,30103.75629901886
197000,30319.93590736389
198000,30573.469378471375
199000,30746.03644299507
200000,30970.243520736694
201000,31224.16746211052
202000,31444.71562385559
203000,31733.181755065918
204000,31957.08614754677
205000,32201.511074543
206000,32420.728771686554
207000,32657.7262070179
208000,32923.07780981064
209000,33548.64644026756
