r,l,t
4240.092744350433,1722,22.943673610687256
645.9738608002663,113,25.248060703277588
2827.6770629882812,4500,116.88744449615479
640.282463490963,77,117.89571690559387
625.1053963303566,125,119.38001251220703
3618.7816160321236,4500,178.075923204422
638.385328412056,108,181.19742798805237
645.0252919793129,77,182.5439989566803
635.5396304726601,78,183.86349034309387
1030.143342912197,184,186.4587504863739
2278.4569960832596,533,193.21281099319458
612.7740305662155,77,194.07027530670166
599.4940985441208,116,195.44910144805908
3339.9030339717865,4500,258.46053075790405
1031.0919060111046,220,262.6982617378235
1028.2462074160576,174,266.88988995552063
3742.0952796936035,2996,327.89388251304626
560.6028661727905,139,342.86096262931824
3736.4038738012314,953,453.35991764068604
646.9224263429642,92,469.35104846954346
650.7166912555695,76,482.64788842201233
649.7681247591972,91,499.75648283958435
645.0252934098244,98,509.16334652900696
648.8195569515228,90,517.8615510463715
650.7166903614998,84,526.0241851806641
649.7681252360344,79,533.3639848232269
644.0767267942429,92,542.5293786525726
649.7681239843369,94,553.5975716114044
645.9738580584526,84,562.7287104129791
649.7681255340576,97,572.9756789207458
647.8709913492203,99,583.1860990524292
650.7166904807091,67,589.7042362689972
650.7166902422905,71,596.9282793998718
646.9224252104759,75,604.0529253482819
646.9224236607552,76,611.3293006420135
645.9738581776619,72,618.3696019649506
649.7681243419647,77,629.6455800533295
2179.806070268154,305,683.8197889328003
650.7166913747787,71,699.2056427001953
9770.388860225677,1034,806.5778710842133
650.7166913747787,76,819.8273425102234
647.8709916472435,73,831.3635659217834
3632.061540365219,1005,1000.2834465503693
641.2310290336609,74,1008.2522220611572
650.7166915535927,71,1016.0964434146881
3633.958680510521,930,1137.2840461730957
3633.0101084709167,1700,1346.2775905132294
3662.415681242943,770,1422.3235540390015
674.4308597445488,115,1433.8476705551147
577.6770665645599,91,1442.6135094165802
3740.1981384158134,1134,1584.790348291397
3745.8895424604416,883,1692.905812740326
3662.4156810045242,521,1766.486793756485
1041.526142835617,129,1779.8247606754303
3663.36424022913,625,1843.4188277721405
4339.692239105701,762,1945.0163626670837
3743.0438444018364,572,2000.088684797287
4164.207412183285,1544,2189.5163543224335
3620.6787544488907,4500,2737.2037847042084
3620.678750216961,4500,3256.4108951091766
4149.030347049236,447,3318.1885619163513
655.4595283269882,116,3339.5536699295044
3746.838114321232,399,3392.042377948761
3742.0952762961388,342,3433.7734196186066
5085.265550732613,4500,3994.246401309967
4355.817866206169,2167,4238.097729206085
1933.1787404417992,269,4264.501757383347
9846.333285570145,692,4351.564935922623
3663.36424100399,435,4402.994653940201
5090.008399128914,4500,4907.748475551605
5160.202361106873,4500,5586.992380619049
5097.596910238266,4500,6208.851537704468
4953.4147609472275,4500,6823.573938369751
3733.5581723451614,294,6880.215316057205
5111.825440227985,4500,7507.90020442009
5131.745364665985,4500,8187.151359319687
4348.229339599609,375,8232.86935210228
4148.081780552864,1683,8502.313002109528
4248.629843890667,412,8575.56426692009
4246.732719838619,479,8672.912404060364
5063.448548913002,4500,9369.604635000229
5010.328833580017,4500,10052.903272151947
4250.526974976063,399,10099.894698619843
4347.280774116516,380,10182.610834121704
3636.8043827414513,334,10241.74162530899
5019.814504206181,4500,10916.018397331238
4957.209105372429,4500,11686.721855640411
3651.0328845977783,379,11727.514268398285
4957.209100782871,4500,12523.523540258408
4869.94097161293,4500,13272.567016839981
4348.229344248772,576,13352.823960542679
4148.081785619259,670,13427.9642059803
9880.166614413261,540,13554.966832399368
4910.729340136051,4500,14261.128778457642
4248.629842996597,422,14325.72014451027
4888.912299931049,4500,15054.648054122925
4243.887007176876,399,15104.18204331398
4243.887006223202,330,15145.613424062729
4352.97217130661,498,15243.200242042542
3746.838101685047,391,15329.180905342102
3647.238613009453,326,15367.381403207779
4887.015181362629,4500,16104.836529970169
4163.258851528168,380,16182.106509685516
4245.7841483950615,336,16271.74599647522
4831.9983114004135,4500,17051.651603221893
4812.078392326832,4500,17931.62009716034
4758.010125517845,4500,18780.75281882286
4750.421587526798,4500,19597.771139144897
4792.1585059762,4500,20445.81839942932
3700.3583406209946,4500,21295.30780339241
4697.301842868328,4500,22201.64662861824
4784.569965779781,4500,23409.00796842575
4667.896275281906,3950,24427.368886470795
4684.021909296513,4500,25633.065414190292
3734.5067423582077,326,25688.255348443985
7054.489887654781,4500,26706.540679216385
3629.21584802866,291,26759.409373283386
3743.992408812046,321,26815.512131214142
3637.7529488801956,306,26894.590547323227
7695.720900118351,4500,27746.205487966537
4248.629850566387,379,27828.7132294178
9885.33329796791,516,27965.820031881332
3743.0438383817673,358,28018.185651779175
4910.7293056845665,4500,29023.528653621674
4344.435080289841,485,29101.862792491913
7695.720910787582,4500,30129.02948117256
3647.2386189699173,319,30231.410146713257
4250.526974976063,319,30281.66525912285
4315.02950245142,4500,31260.015031337738
3747.7866784334183,693,31419.260512828827
4662.204882383347,4500,32545.004585266113
3641.5472130179405,288,32594.016561746597
