l,t
1000,2.746098756790161
2000,5.353476047515869
3000,8.551825523376465
4000,11.527192115783691
5000,14.537827491760254
6000,17.17471957206726
7000,20.008712768554688
8000,22.637955904006958
9000,25.637330770492554
10000,28.566078424453735
11000,31.252626419067383
12000,33.9945604801178
13000,36.7684485912323
14000,39.58814859390259
15000,42.45532250404358
16000,45.14362049102783
17000,47.8980770111084
18000,50.48543167114258
19000,53.27752995491028
20000,55.909693241119385
21000,58.54542922973633
22000,61.331239461898804
23000,64.09324526786804
24000,66.8910026550293
25000,69.6227765083313
26000,72.26028108596802
27000,74.87259721755981
28000,77.76756501197815
29000,80.52499961853027
30000,83.1150324344635
31000,86.16011762619019
32000,88.99959659576416
33000,91.75932145118713
34000,94.74657034873962
35000,97.63455820083618
36000,100.38192558288574
37000,103.07048273086548
38000,105.81478190422058
39000,108.46459293365479
40000,111.04358434677124
41000,113.6397078037262
42000,116.2395486831665
43000,119.02029538154602
44000,121.709721326828
45000,124.37591648101807
46000,127.31459665298462
47000,130.63099789619446
48000,133.6172182559967
49000,136.74749112129211
50000,139.51358294487
51000,143.04785227775574
52000,146.47000980377197
53000,149.72059965133667
54000,152.80613470077515
55000,156.00555634498596
56000,159.19424080848694
57000,162.32649421691895
58000,165.56442046165466
59000,168.8123791217804
60000,171.9834966659546
61000,174.8470332622528
62000,177.79591965675354
63000,180.73819708824158
64000,183.45042252540588
65000,186.12836813926697
66000,188.90041756629944
67000,191.68028116226196
68000,194.97227454185486
69000,198.07298755645752
70000,202.00205063819885
71000,204.8157570362091
72000,208.23843717575073
73000,210.98153948783875
74000,214.34684920310974
75000,217.24342799186707
76000,219.94242787361145
77000,222.80760192871094
78000,225.41718459129333
79000,228.02649092674255
80000,230.92795491218567
81000,233.60186123847961
82000,236.8122489452362
83000,240.7347481250763
84000,244.4856526851654
85000,248.39852857589722
86000,251.840558052063
87000,255.06419491767883
88000,258.3707859516144
89000,261.62424898147583
90000,264.91610074043274
91000,267.88782787323
92000,271.262907743454
93000,274.3871786594391
94000,277.49774861335754
95000,280.3886716365814
96000,283.2906196117401
97000,286.04698848724365
98000,288.8924934864044
99000,291.7734773159027
100000,294.5341339111328
101000,297.1677405834198
102000,299.7473871707916
103000,302.4095184803009
104000,304.9785759449005
105000,307.5356910228729
106000,310.34380173683167
107000,313.2345323562622
108000,316.417361497879
109000,319.3130986690521
110000,321.96389508247375
111000,324.91128158569336
112000,327.5813846588135
113000,330.2724230289459
114000,332.940860748291
115000,335.6109461784363
116000,338.37004351615906
117000,341.0133125782013
118000,343.5142869949341
119000,346.2698140144348
120000,349.0551087856293
121000,351.6982021331787
122000,354.3470244407654
123000,356.9954459667206
124000,359.60627460479736
125000,362.31808161735535
126000,364.93467354774475
127000,367.65222096443176
128000,370.30627727508545
129000,372.9324040412903
130000,375.559992313385
131000,378.2839021682739
132000,380.90084528923035
133000,383.52690625190735
134000,386.15252351760864
135000,388.8840117454529
136000,391.5612063407898
137000,394.15842032432556
138000,396.76494455337524
139000,399.3931429386139
140000,402.10219621658325
141000,404.7138833999634
142000,407.154287815094
143000,409.97466826438904
144000,412.68494510650635
145000,415.3722138404846
146000,418.0043954849243
147000,420.63804841041565
148000,423.2580997943878
149000,425.9243674278259
150000,428.57636976242065
151000,431.24332189559937
152000,433.88048791885376
153000,436.35955905914307
154000,439.0476071834564
155000,441.66742730140686
156000,444.19897866249084
157000,446.6406018733978
158000,449.20989060401917
159000,451.8276717662811
160000,454.39952635765076
161000,456.8906126022339
162000,459.5347204208374
163000,462.37233304977417
164000,464.99392580986023
165000,467.61924958229065
166000,470.2425630092621
167000,472.68389320373535
168000,475.24230313301086
169000,477.866094827652
170000,480.3649423122406
171000,482.8121087551117
172000,485.45389223098755
173000,488.10286498069763
174000,490.6989095211029
175000,493.31573700904846
176000,495.908225774765
177000,498.5913407802582
178000,501.2046287059784
179000,503.83780789375305
180000,506.4544475078583
181000,509.1648542881012
182000,511.88494896888733
183000,514.5557479858398
184000,517.1928198337555
185000,519.859617471695
186000,522.5577917098999
187000,525.1857371330261
188000,527.8168559074402
189000,530.4046895503998
190000,533.1611609458923
191000,535.7580831050873
192000,538.3760459423065
193000,540.9730229377747
194000,543.5424387454987
195000,546.2776386737823
196000,549.1557877063751
197000,551.8260624408722
198000,554.5500409603119
199000,557.400200843811
200000,560.0265777111053
201000,562.746750831604
202000,565.3672459125519
203000,568.1193764209747
204000,570.9810400009155
205000,573.6040396690369
206000,576.21191239357
207000,578.8605761528015
208000,581.5614941120148
209000,584.2832963466644
210000,586.9552762508392
211000,589.611029624939
212000,592.1920344829559
213000,594.8957781791687
214000,597.5985169410706
215000,600.3391690254211
216000,603.1724896430969
217000,605.8339960575104
218000,608.7973866462708
219000,611.499743938446
220000,614.0828957557678
221000,616.6657166481018
222000,619.3803513050079
223000,622.1559436321259
224000,624.8272879123688
225000,627.5574338436127
226000,630.2884652614594
227000,633.0699512958527
228000,635.7439227104187
229000,638.4622073173523
230000,641.1783671379089
231000,643.7945959568024
232000,646.7385675907135
233000,649.453022480011
234000,651.9731724262238
235000,654.4652700424194
236000,657.0913834571838
237000,659.8630077838898
238000,662.5196123123169
239000,665.1799468994141
240000,667.7539687156677
241000,670.3897380828857
242000,673.0631728172302
243000,675.9052548408508
244000,678.7329235076904
245000,681.5400469303131
246000,684.3225779533386
247000,686.9815626144409
248000,689.642739534378
249000,692.2565939426422
250000,695.0302004814148
251000,697.6426043510437
252000,700.3400497436523
253000,702.9922902584076
254000,705.6535179615021
255000,708.4320998191833
256000,711.0654139518738
257000,713.7083737850189
258000,716.4046909809113
259000,719.0196611881256
260000,722.1672675609589
261000,724.7896304130554
262000,727.6584577560425
263000,730.5916695594788
264000,733.3993058204651
265000,736.2230195999146
266000,739.0358037948608
267000,741.7900094985962
268000,744.4363942146301
269000,747.1327927112579
270000,749.7310361862183
271000,752.3492197990417
272000,755.0964152812958
273000,757.7339808940887
274000,760.3705780506134
275000,763.1641001701355
276000,765.8281962871552
277000,768.5852994918823
278000,771.2574932575226
279000,773.9311323165894
280000,776.5689170360565
281000,779.3226706981659
282000,781.9886658191681
283000,784.608389377594
284000,787.3245737552643
285000,789.9643080234528
286000,792.6755721569061
287000,795.2942283153534
288000,797.8498771190643
289000,800.4197244644165
290000,803.2759444713593
291000,806.0509345531464
292000,808.8403172492981
293000,811.4577145576477
294000,814.0634551048279
295000,816.6797089576721
296000,819.4063489437103
297000,822.0296804904938
298000,824.6192674636841
299000,827.1925232410431
300000,829.7455408573151
301000,832.4357595443726
302000,835.0539765357971
303000,837.5846073627472
304000,840.201664686203
305000,842.9462745189667
306000,845.5936167240143
307000,848.1994383335114
308000,850.790922164917
309000,853.3762862682343
310000,856.0870475769043
311000,858.6572077274323
312000,861.2781753540039
313000,863.8755264282227
314000,866.6233999729156
315000,869.3826525211334
316000,872.0966475009918
317000,874.755083322525
318000,877.3472170829773
319000,879.9894933700562
320000,882.6876575946808
321000,885.3146011829376
322000,887.8882234096527
323000,890.465407371521
324000,893.0233545303345
325000,895.7207918167114
326000,898.3132531642914
327000,900.8842134475708
328000,903.4603593349457
329000,906.1158761978149
330000,908.7050812244415
331000,911.1607885360718
332000,913.6277420520782
333000,916.2216489315033
334000,918.666844367981
335000,921.2623264789581
336000,923.8140251636505
337000,926.4452316761017
338000,928.949597120285
339000,931.4257173538208
340000,933.9030387401581
341000,936.6017570495605
342000,939.2472696304321
343000,941.7511541843414
344000,944.1958420276642
345000,946.6299030780792
346000,949.2939651012421
347000,951.8906071186066
348000,954.4178576469421
349000,957.0019421577454
350000,959.5732209682465
351000,962.0641512870789
352000,964.6682624816895
353000,967.2713310718536
354000,969.9094121456146
355000,972.61217045784
356000,975.2607057094574
357000,977.8571927547455
358000,980.452086687088
359000,983.178792476654
360000,985.8078956604004
361000,988.4617223739624
362000,991.0848071575165
363000,993.6389813423157
364000,996.3784303665161
365000,999.0088860988617
366000,1001.6489701271057
367000,1004.2495338916779
368000,1006.8398697376251
369000,1009.3430211544037
370000,1011.761974811554
371000,1014.3585705757141
372000,1016.9912068843842
373000,1019.7262482643127
374000,1022.3254585266113
375000,1024.9150445461273
376000,1027.5191323757172
377000,1030.723333120346
378000,1033.6885240077972
379000,1036.32355427742
380000,1038.9159996509552
381000,1041.6236522197723
382000,1044.2230269908905
383000,1046.832638502121
384000,1049.450145483017
385000,1051.9599142074585
386000,1054.636066198349
387000,1057.1018071174622
388000,1059.627515077591
389000,1062.1821041107178
390000,1064.9113140106201
391000,1067.4937272071838
392000,1070.0661089420319
393000,1072.6283957958221
394000,1075.3050196170807
395000,1077.9127950668335
396000,1080.5154700279236
397000,1083.1744525432587
398000,1085.7043862342834
399000,1088.628352880478
400000,1091.4969372749329
401000,1094.1093399524689
402000,1097.0199780464172
403000,1099.6220467090607
404000,1102.2290880680084
405000,1104.9632542133331
406000,1107.6034569740295
407000,1110.2934370040894
408000,1112.864185333252
409000,1115.5454304218292
410000,1118.1496078968048
411000,1120.765941619873
412000,1123.3863425254822
413000,1126.0353548526764
414000,1128.7222945690155
415000,1131.3391070365906
416000,1133.9885592460632
417000,1136.6213159561157
418000,1139.3255660533905
419000,1141.9684040546417
