r,l,t
602.3397951722145,136,0.3746953010559082
527.4030379652977,164,0.8475594520568848
1642.9173774719238,4500,13.934991836547852
3154.9325467944145,4500,26.481013298034668
571.9856679439545,206,27.091795444488525
712.3735295534134,4500,39.60516595840454
1565.1349256038666,4500,51.802207469940186
1653.3516128063202,4500,64.11020708084106
5136.488196372986,4500,76.33683276176453
5137.436768233776,4500,89.0162627696991
3735.4553127884865,1812,94.03636431694031
1047.2175405025482,3740,104.56590151786804
1762.4367695450783,4500,116.38918447494507
598.5455283522606,148,116.86347675323486
3129.3212502002716,4500,129.674378156662
2706.260541319847,4500,143.81800150871277
565.3457019329071,141,144.33293914794922
730.3962869644165,173,144.9214744567871
3158.7268056869507,4500,159.2578067779541
1637.2259867191315,4500,173.35157656669617
1028.2462022304535,176,173.92061257362366
584.3170307278633,124,174.30446577072144
1966.3785827159882,1213,177.91453289985657
3183.38954526186,4500,190.29918479919434
696.2478948235512,4500,204.91239070892334
580.5227646827698,133,205.48354053497314
572.9342336654663,154,206.05987739562988
1977.7613856196404,2137,212.5712285041809
1045.3204085826874,1075,215.90085577964783
1028.2462081313133,431,217.08088326454163
1630.5860137343407,4500,229.24921917915344
609.9283264875412,117,229.65561318397522
606.1340608000755,114,230.0018081665039
1692.2428346276283,4500,245.14323210716248
3187.1838275790215,4500,260.5542631149292
712.3735282421112,4500,275.03092432022095
612.7740290164948,137,275.49242401123047
707.6306979060173,4500,288.29722785949707
616.5682974457741,134,288.7441096305847
581.471332848072,132,289.1496639251709
1661.8887133598328,4500,301.25099539756775
1619.2032076120377,4500,313.6329114437103
1030.1433390378952,211,314.3225152492523
2178.857504785061,2846,322.3709509372711
544.4772372245789,199,322.96106719970703
602.3397979736328,147,323.395143032074
582.4198968410492,108,323.75951981544495
571.0370990633965,128,324.1479969024658
3155.881110191345,4500,336.2545437812805
1652.4030498862267,4500,348.26873540878296
1699.8313689231873,4500,360.22373628616333
1029.1947699189186,2085,365.79122948646545
3157.7782437205315,4500,377.7513659000397
808.1787540912628,4500,389.72535943984985
1688.4485824108124,4500,401.5140607357025
740.8305195569992,170,402.02997756004333
1664.734413921833,4500,413.9521255493164
1656.1973025202751,4500,425.8336203098297
737.9848244190216,4500,437.6201169490814
1655.248741030693,4500,449.12204694747925
1638.1745402812958,4500,460.8444676399231
1031.0919023752213,169,461.3692481517792
611.8254607319832,94,461.67847418785095
3140.7040414214134,4500,473.3217167854309
1645.763078391552,4500,484.6716482639313
494.20320600271225,179,485.2167127132416
1652.4030355215073,4500,497.03208446502686
760.7504285573959,4500,508.9221785068512
542.5801020860672,149,509.3778419494629
607.082629263401,125,509.7561993598938
2160.834742605686,1708,514.2790591716766
1028.246206998825,2284,520.3817944526672
728.4991648197174,4500,532.2401864528656
593.8026947379112,111,532.6060266494751
1693.1914106607437,4500,544.3416569232941
601.3912299871445,158,544.8248057365417
1640.071673154831,4500,557.2445423603058
723.7563259005547,4500,569.4151268005371
723.756325006485,4500,581.40744805336
608.0311942100525,133,581.8308892250061
598.5455280542374,108,582.1646103858948
3122.6812847852707,4500,594.0508625507355
1673.2715024352074,4500,606.3961744308472
599.494097173214,157,606.8841178417206
570.0885322093964,140,607.3136501312256
555.8600360155106,128,607.7108817100525
5143.128165245056,4500,619.7386524677277
5100.442666053772,4500,632.0146028995514
732.2934266328812,4500,644.1710858345032
604.2369270324707,100,644.5111622810364
560.6028695702553,148,644.9635689258575
590.9569983482361,123,645.3442692756653
1683.7057401537895,4500,657.1045684814453
554.9114689826965,127,657.5011229515076
1659.043008029461,4500,669.3557844161987
1659.0430037975311,4500,681.9010419845581
3154.932547748089,4500,693.9490275382996
609.9283274412155,117,694.318948507309
758.853289783001,4500,706.3146431446075
2218.6973025798798,469,707.6352508068085
3221.3322117328644,4500,719.5955421924591
570.088535130024,145,720.2105429172516
571.9856676459312,148,720.7992708683014
1643.8659497499466,4500,733.4330847263336
1662.8372731804848,4500,745.7399189472198
1028.2462065815926,2943,753.539644241333
1029.1947748661041,254,754.2806839942932
3135.0126605033875,4500,766.4289932250977
5167.790891349316,4500,778.4407389163971
719.9620584845543,4500,790.507523059845
1642.9173846244812,4500,802.261058807373
608.9797613620758,109,802.6282474994659
584.3170313835144,115,803.0340793132782
594.751262485981,127,803.4377129077911
1950.252956032753,859,805.7688002586365
1028.2462086081505,294,806.6197867393494
1034.8861705064774,187,807.1777584552765
814.8187217116356,4500,819.0709083080292
1675.1686452627182,4500,830.7688231468201
727.5505893230438,4500,842.6091041564941
1666.631539463997,4500,854.41481757164
3110.349911272526,4500,866.2861187458038
717.1163547635078,131,866.7010262012482
1031.0919033288956,572,868.2855443954468
1977.7613833546638,842,870.5703220367432
5102.339802920818,4500,882.4662821292877
1646.7116358280182,4500,894.1728281974792
1447.5126568675041,4500,905.8875532150269
2945.299324154854,3279,914.1901350021362
815.7672899961472,4500,925.6613264083862
1028.2462054491043,3424,934.2680406570435
507.48313903808594,140,934.6767647266388
598.5455310344696,143,935.0951917171478
578.6256330013275,117,935.4395267963409
748.4190580844879,4500,946.7411859035492
714.2706596851349,4500,958.3984673023224
3153.983980178833,4500,970.0428030490875
3187.1838185191154,4500,981.8655517101288
585.2655969262123,151,982.3358609676361
1663.78584253788,4500,994.1523189544678
602.3397958278656,187,994.6962177753448
1659.042998790741,4500,1006.4864122867584
5110.8768944740295,4500,1018.0287017822266
726.6020234823227,4500,1030.3428299427032
590.956997692585,144,1030.8468160629272
540.682969212532,127,1031.3365969657898
574.8313671350479,246,1032.020469903946
3646.2900441884995,3098,1040.2090623378754
600.4426625370979,120,1040.5848031044006
1678.9629121422768,4500,1052.2606732845306
541.6315363049507,130,1052.6448829174042
2551.6441891789436,4047,1062.9622128009796
1669.4772508740425,4500,1074.6880674362183
705.7335633635521,4500,1086.4813730716705
2718.5919072031975,954,1089.3648705482483
599.4940952658653,127,1089.772263288498
600.4426655769348,149,1090.2103884220123
756.9561560153961,4500,1102.3022334575653
554.9114686846733,137,1102.737098455429
2827.677078664303,4500,1114.5298562049866
571.9856664538383,157,1114.9956359863281
616.5682955980301,114,1115.3364181518555
2864.6711707115173,4500,1127.1748802661896
3129.3212528824806,4500,1139.067927122116
1028.2462048530579,2650,1146.1256415843964
1599.2833139896393,4500,1157.9344897270203
726.6020314097404,4500,1169.8764564990997
607.0826277136803,151,1170.3544292449951
